username,rating,comment
asfiatulistianah,5,"Kualitas produk baik, produk original, harga produk sangat baik. Bahan lembut"
zidanedeva,4,"Kemeja ny bgs, kemasan ny jg rapi kurir ny jg ramah...minus ny cm brand ny aj yg beda, brand yg sy trima bkn brand mikepm"
e*****3,5,"Tampilan:bahan tebal adem
Warna:navy

Kualitas bahan tebel adem , suami ku suka nyaman dipakenya . Pengiriman cepat dikirim sesuai etalase...."
m*****3,5,"Suka suka banget sama flanelnya 😍😍😍😍👍🏻, rekomendasi nih olshopnya. Responnya juga oke 
Makasih gan. Next order lagi"
e*****h,5,"Aku beli yg ini, bajunye tebal, bagus, pengemasan cepat, redpon seller cepat dan amanah"
puspitadwanti,5,"Pengiriman cepet.. Barang bagus 
Respon baik"
h*****i,5,"packing & pelayanan nya bagus, bahan nya bagus, next pasti order di sini lagi. thx you"
img_store,5,"Melebihi ekspektasi, warna keren, ukuran pas banget, puas banget pokoknya sama barangnya, sukses terus gan"
ekoayu1,4,Trimakasih.. Respon penjual cpt. Pengiriman cpt bgt. Barang bagus. Tp Agak tipis. Dr sebelumnya ... 
mhmd_saefulloh,5,"Pengiriman lumayan cepat dan produk sampai dengan selamat, kualitas produk juga lumayan jossssss"
m*****h,5,Produk sampai dengan selamat dan pengiriman juga sangat cepat. Kualitas produk jossssss
agganggitarahmawati,5,"Paket sampai dengan cepat, bahan bagus, terbungkus rapi, nice , pertahankan "
amirajjah,5,"Mantap barangnya
Pengiriman cepat bgt
Top dahc
Respon penjual baik"
ahmadsahrul10,5,Admin nya ramah😍😍😍kualitasnya pun bagus 😍😍😍😍saya suka saya suka betul betul betul😍😍😍
eva25sihite,5,"Maaf foto gk sesuai. Bajunya bagus, ukuran besar,  bahan agak berbulu, gk ngisap, tebal, harga murah."
avansetiawan09,5,Makasih sudah sampai kualitasnya mantepp
,5,Pesanan orderan sudah sya terima. Cepat banget pengiriman nya sya puas blanja Di toko ini. terima kasih shopee
reza.bge,5,"Packing nya mantap , baru kali ini order bahan nya mantep next order pasti"
